股票代码,股票名称,所属行业,PE(动),总市值,基本每股收益(元),每股净资产(元),每股经营现金流(元),每股公积金(元),总股本(万股),每股未分配利润(元),加权净资产收益率(%),毛利率(%),资产负债率(%),营业总收入同比增长(%),归属净利润同比增长(%),扣非净利润同比增长(%),预告类型,预告日期,变动范围,score
601678,滨化股份,化工行业,22.98,82.45,0.15,4.1458,0.2023,1.0723,118800.0,1.706,3.47,24.54,30.34,55.52,233.62,240.82,,,,22
300302,同有科技,软件服务,107.19,93.99,0.3057,1.709,-0.1651,0.2016,42127.0,0.5382,20.17,44.58,18.15,30.57,95.4,96.75,预增,2017-04-07,40%~65%,22
603858,步长制药,医药制造,36.6,647.6,2.8639,18.4893,2.4476,5.638,68180.0,11.3651,21.21,83.17,31.92,5.71,-49.97,-7.16,,,,22
936,华西股份,化纤行业,13.69,82.75,0.68,5.4953,0.2627,0.5691,88601.29,1.4774,15.88,12.64,43.02,5.58,604.46,613.0,预增,2017-04-13,140%~170%,22
2821,凯莱英,医疗行业,66.15,166.4,0.4267,17.0608,1.367,11.1814,11505.54,5.9203,2.76,48.33,22.7,55.4,49.5,43.03,,,,22
300316,晶盛机电,机械行业,84.04,145.2,0.1315,3.2560000000000002,0.0511,1.5763,98507.55,0.6258,7.0,36.66,20.81,72.47,80.32,68.88,预增,2017-04-07,110%~140%,22
2093,国脉科技,电信运营,153.91,104.4,0.0505,2.9017,0.0451,1.392,100750.0,0.4462,3.73,28.46,54.07,185.47,107.66,138.85,,,,22
600242,中昌数据,软件服务,0.0,88.62,0.1,3.2789,-0.5669,3.9374,41801.13,-1.7331,6.22,16.0,35.75,223.46,88.56,0.0,,,,22
600568,中珠医疗,医药制造,63.81,142.7,0.2684,8.0907,0.3806,6.0422,71173.92,0.9590000000000001,5.6,32.28,22.81,95.4,158.56,1491.11,,,,22
600100,同方股份,电子信息,6.15,417.9,1.4516,7.3518,-0.7103,3.1484,296389.9,2.6646,19.99,17.87,57.38,-4.47,241.02,-124.72,,,,22
2315,焦点科技,电子信息,66.76,74.13,0.09,16.6634,-0.5253,10.0917,11750.0,3.7087,0.57,60.5,19.51,61.55,0.0,0.0,,,,22
2279,久其软件,软件服务,99.69,101.3,0.4037,3.9960000000000004,0.1782,1.8667,54149.2,1.0132,10.6,58.04,21.9,84.29,61.96,73.52,,,,22
300387,富邦股份,化工行业,44.13,35.87,0.4878,4.8062,0.8082,1.4757,12497.2,2.3879,9.89,45.46,28.7,43.45,35.55,37.52,预升,2017-04-10,-15%~10%,22
2857,三晖电气,仪器仪表,35.69,14.30,-0.05,5.0461,-0.354,2.0454,8000.0,1.7657,-1.77,27.46,17.97,224.24,0.0,0.0,,,,22
