股票代码,股票名称,所属行业,PE(动),总市值
600400,红豆股份,纺织服装,109.3,140.8
600401,海润光伏,材料行业,183.11,110.6
600403,*ST大有,煤炭采选,0.0,124.3
600405,动力源,电子元件,156.52,48.31
600406,国电南瑞,输配电气,39.46,403.9
600408,安泰集团,煤炭采选,0.0,42.99
600409,三友化工,化工行业,22.61,171.9
600410,华胜天成,软件服务,334.62,112.4
600415,小商品城,商业百货,38.57,427.3
600416,湘电股份,机械行业,130.89,170.2
600418,江淮汽车,汽车行业,19.31,224.4
600419,天润乳业,食品饮料,60.91,60.62
600420,现代制药,医药制造,38.37,183.0
600421,仰帆控股,医药制造,0.0,38.53
600422,昆药集团,医药制造,24.85,101.2
600423,柳化股份,化肥行业,0.0,29.27
600425,青松建化,水泥建材,0.0,110.4
600426,华鲁恒升,化肥行业,19.48,167.4
600428,中远海特,港口水运,364.77,161.4
600429,三元股份,食品饮料,54.4,124.1
600432,*ST吉恩,有色金属,0.0,106.8
600433,冠豪高新,造纸印刷,87.74,95.22
600435,北方导航,机械行业,4726.5,240.7
600436,片仔癀,医药制造,47.04,301.7
600438,通威股份,农牧饲渔,20.89,251.2
600439,瑞贝卡,工艺商品,46.95,74.05
600444,国机通用,机械行业,463.31,30.82
600446,金证股份,软件服务,143.81,186.3
600448,华纺股份,纺织服装,209.39,32.10
600449,宁夏建材,水泥建材,118.45,68.28
600452,涪陵电力,电力行业,44.2,76.30
600455,博通股份,软件服务,0.0,31.39
600456,宝钛股份,有色金属,0.0,108.5
600458,时代新材,材料行业,44.67,121.5
600459,贵研铂业,有色金属,88.69,67.33
600460,士兰微,电子元件,85.45,81.94
600461,洪城水业,公用事业,20.02,60.88
600462,九有股份,电子元件,829.14,43.45
600463,空港股份,房地产,159.76,44.97
600466,蓝光发展,房地产,75.02,209.3
600467,好当家,农牧饲渔,117.14,61.36
600468,百利电气,输配电气,132.64,69.00
600469,风神股份,汽车行业,27.79,67.15
600470,六国化工,化肥行业,0.0,41.36
600472,包头铝业,-,0.0,0
600475,华光股份,机械行业,54.31,50.74
600476,湘邮科技,软件服务,2056.27,47.53
600477,杭萧钢构,水泥建材,29.31,116.9
600478,科力远,电子元件,0.0,138.7
600479,千金药业,医药制造,39.33,58.77
600480,凌云股份,塑胶制品,39.01,83.11
600481,双良节能,化工行业,77.51,135.3
600482,中国动力,材料行业,52.67,565.2
600483,福能股份,电力行业,19.09,178.3
600485,信威集团,通讯行业,22.52,426.9
600486,扬农化工,农药兽药,29.4,115.4
600487,亨通光电,通讯行业,22.73,317.5
600488,天药股份,医药制造,97.43,62.17
600489,中金黄金,贵金属,77.68,423.1
600490,鹏欣资源,有色金属,229.68,148.8
600491,龙元建设,工程建设,53.15,144.6
600493,凤竹纺织,纺织服装,209.99,40.23
600495,晋西车轴,交运设备,370.85,99.92
600496,精工钢构,水泥建材,37.84,68.73
600497,驰宏锌锗,有色金属,317.72,301.7
600498,烽火通信,通讯行业,37.82,267.7
600499,科达洁能,机械行业,23.87,114.3
600500,中化国际,化工行业,77.82,233.5
600501,航天晨光,专用设备,0.0,82.11
600502,安徽水利,工程建设,29.5,90.15
600503,华丽家族,房地产,76.15,127.2
600505,西昌电力,电力行业,66.75,39.30
600506,香梨股份,农牧饲渔,0.0,34.05
600507,方大特钢,钢铁行业,15.34,94.68
600508,上海能源,煤炭采选,18.72,84.56
600509,天富能源,电力行业,20.54,74.90
600510,黑牡丹,工程建设,27.74,98.01
600511,国药股份,医药制造,29.47,161.4
600512,腾达建设,工程建设,105.62,89.22
600513,联环药业,医药制造,56.39,35.35
600515,海航基础,商业百货,55.18,482.2
600516,方大炭素,材料行业,149.65,157.1
600517,置信电气,输配电气,36.35,132.9
600518,康美药业,医药制造,26.69,922.2
600519,贵州茅台,酿酒行业,28.63,4759
600520,*ST中发,机械行业,0.0,35.04
600521,华海药业,医药制造,45.37,233.1
600522,中天科技,通讯行业,24.12,368.2
600523,贵航股份,汽车行业,38.96,67.49
600525,长园集团,材料行业,32.02,205.0
600526,菲达环保,专用设备,95.35,66.51
600527,江南高纤,化纤行业,178.54,49.01
600528,中铁工业,工程建设,201.48,308.9
600529,山东药玻,玻璃陶瓷,32.81,56.83
600530,交大昂立,医药制造,29.96,54.21
600531,豫光金铅,有色金属,111.83,90.38
600532,宏达矿业,有色金属,0.0,75.71
600533,栖霞建设,房地产,89.98,55.96
600535,天士力,医药制造,32.56,435.4
600536,中国软件,软件服务,0.0,118.9
600537,亿晶光电,电子元件,16.87,86.82
600538,国发股份,农药兽药,0.0,58.84
600539,ST狮头,水泥建材,0.0,42.60
600540,新赛股份,农牧饲渔,0.0,40.26
600543,莫高股份,酿酒行业,160.4,46.27
600545,新疆城建,工程建设,0.0,90.49
600546,*ST山煤,煤炭采选,0.0,97.54
600547,山东黄金,贵金属,52.85,683.2
600548,深高速,高速公路,16.28,190.4
600549,厦门钨业,有色金属,120.35,245.6
600550,保变电气,输配电气,99.98,109.1
600551,时代出版,文化传媒,25.53,102.8
600552,凯盛科技,材料行业,73.14,61.59
600553,太行水泥,水泥建材,0.0,0
600555,海航创新,旅游酒店,0.0,73.26
600556,ST慧球,公用事业,0.0,47.10
600557,康缘药业,医药制造,28.59,111.7
600558,大西洋,金属制品,127.44,56.64
600559,老白干酒,酿酒行业,89.74,99.40
600560,金自天正,机械行业,188.0,37.33
600561,江西长运,交运物流,71641.55,31.13
600562,国睿科技,机械行业,87.88,156.1
600563,法拉电子,电子元件,24.91,90.97
600565,迪马股份,房地产,21.3,165.5
600566,济川药业,医药制造,28.87,269.7
600567,山鹰纸业,造纸印刷,58.2,160.7
600568,中珠医疗,医药制造,63.81,142.7
600569,安阳钢铁,钢铁行业,63.71,78.51
600570,恒生电子,软件服务,1455.06,266.2
600571,信雅达,软件服务,68.28,83.71
600572,康恩贝,医药制造,28.61,171.7
600573,惠泉啤酒,酿酒行业,4161.97,36.45
600575,皖江物流,港口水运,48.94,231.4
600576,万家文化,文化传媒,104.3,96.71
600577,精达股份,金属制品,57.2,128.1
600578,京能电力,电力行业,17.57,261.1
600579,天华院,机械行业,1944.91,61.60
600580,卧龙电气,输配电气,55.02,110.5
600581,*ST八钢,钢铁行业,0.0,67.29
